"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"105"	14	71.97	57.092	0.823	0.144	13	117.6	57.637	1.616	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79	1	1	1	1	1	1	1	85000	20	2	-2	1	4	2	1	1	3	2	2	1	1	2	NA	2	1	2	2	91.226	99.02349	100.15371	91.66981	6	1	1
"107"	NA	NA	NA	NA	NA	14	133.34	64.018	1.96	0.143	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	77.83	2	3	3	4	4	1	1	27000	-1	2	-2	2	4	2	1	1	NA	NA	2	NA	2	2	NA	2	2	2	2	91.226	99.02349	100.15371	91.66981	8	1	1
"109"	13	67.39	55.201	0.742	0.142	15	123.14	59.802	1.713	0.138	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	73.27	2	1	1	1	1	1	1	56000	17	2	-2	2	4	2	1	1	1	4	2	NA	2	2	NA	2	1	2	2	91.226	99.02349	100.15371	91.66981	6	1	1
"110"	14	70.35	56.443	0.796	0.143	13	121.65	59.209	1.752	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.03	1	1	1	1	1	2	2	-8	13	2	-2	1	4	2	1	1	1	4	2	1	1	1	NA	1	1	2	2	91.226	99.02349	100.15371	91.66981	6	1	1
"112"	10	53.76	48.257	0.354	0.143	4	74.41	41.982	0.887	0.131	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.5	2	3	3	4	4	2	2	3000	-1	1	-2	1	4	2	1	2	2	2	2	2	2	2	NA	2	2	1	1	203.32185	208.1001	259.4524	210.54389	2	1	1
"113"	9	41.53	39.661	-0.157	0.166	5	77.31	43.16	0.965	0.13	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71	1	1	1	1	1	5	5	-8	13	1	-2	1	4	2	1	3	2	3	2	2	2	1	NA	2	1	1	1	203.32185	208.1001	259.4524	210.54389	5	1	1
"114"	10	51.4	46.797	0.282	0.144	4	81.1	44.622	1.019	0.128	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.4	2	3	1	4	2	1	1	33000	-1	1	-2	1	4	1	1	1	2	4	2	1	1	1	NA	1	1	1	1	203.32185	208.1001	259.4524	210.54389	7	1	1
"116"	14	80.93	60.359	1.013	0.15	10	95.19	49.631	1.266	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.07	2	1	1	2	2	2	2	16000	13	1	-2	1	4	2	1	1	2	3	2	2	2	2	NA	2	1	1	1	203.32185	208.1001	259.4524	210.54389	2	1	1
"117"	8	39.14	37.679	-0.194	0.165	0	59.16	34.515	0.526	0.15	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.77	2	2	2	1	1	0	0	23000	13	1	-2	2	4	2	1	1	1	1	2	2	2	2	NA	2	2	1	1	203.32185	208.1001	259.4524	210.54389	7	1	1
"118"	11	50.49	46.215	0.255	0.145	1	75.95	42.613	0.934	0.131	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	67.83	2	1	1	1	1	1	1	-7	13	1	-2	2	4	1	1	1	2	3	2	2	2	2	NA	2	1	1	1	203.32185	208.1001	259.4524	210.54389	7	1	1
